Title,Address,Rent,Admin Fee,Area,Rooms,Bathrooms,Parking
  Apartamento com  Quarto para Venda/Aluguel 48m²  ,"Rua Luís Coelho, , 80 - Consolação, São Paulo - SP",R$ 1.605 /Mês,R$ 1.795,48 m²,1,1,1
"  Apartamento com 2 Quartos para Aluguel, 56m²  ","Rua Comendador Miguel Calfat, 62 - Vila Nova Conceição, São Paulo - SP",R$ 2.000 /Mês,R$ 755,56 m²,2,2,1
"  Apartamento com 3 Quartos para Aluguel, 66m²  ","Avenida Padre Manoel da Nóbrega, 355 - Jardim García, Campinas - SP",R$ 950 /Mês,R$ 491,66 m²,3,2,1
"  Apartamento com 2 Quartos para Aluguel, 90m²  ","Rua 288 - Meia Praia, Itapema - SC",R$ 450 /Dia,,90 m²,2,2,1
"  Apartamento com 3 Quartos para Aluguel, 115m²  ","Rua General Urquiza - Leblon, Rio de Janeiro - RJ",R$ 6.000 /Mês,R$ 750,115 m²,3,3,1
"  Apartamento com  Quarto para Aluguel, 40m²  ","Rua Padre Carvalho, 348 - Pinheiros, São Paulo - SP",R$ 4.208 /Mês,R$ 801,40 m²,1,1,1
  Casa com 5 Quartos para Venda/Aluguel 390m²  ,"Rua Noruega, 97 - Jardim Europa, São Paulo - SP",R$ 36.000 /Mês,,390 m²,5,7,4
"  Apartamento com 3 Quartos para Aluguel, 156m²  ","Avenida João Carlos Machado, 501 - Barra da Tijuca, Rio de Janeiro - RJ",R$ 4.000 /Mês,R$ 1.630,156 m²,3,2,2
"  Apartamento com 2 Quartos para Aluguel, 83m²  ","Rua Mário Agostinelli, 50 - Jacarepaguá, Rio de Janeiro - RJ",R$ 2.200 /Mês,R$ 1.450,83 m²,2,3,1
"  Apartamento com  Quarto para Aluguel, 43m²  ","Rua Bela Cintra, 167 - Consolação, São Paulo - SP",R$ 1.749 /Mês,R$ 728,43 m²,1,1,1
"  Apartamento com  Quarto para Aluguel, 47m²  ","Rua Paula Freitas, 33 - Copacabana, Rio de Janeiro - RJ",R$ 1.900 /Mês,R$ 613,47 m²,1,1,--
"  Apartamento com  Quarto para Aluguel, 31m²  ","Rua Torres da Barra, 275 - Água Branca, São Paulo - SP",R$ 1.300 /Mês,R$ 400,31 m²,1,1,--
"  Apartamento com 2 Quartos para Aluguel, 74m²  ","Praia Botafogo, 472 - Botafogo, Rio de Janeiro - RJ",R$ 3.200 /Mês,R$ 710,74 m²,2,2,1
"  Apartamento com 2 Quartos para Aluguel, 56m²  ","Rua São Venceslau, 243 - Vila Guarani (Z Sul), São Paulo - SP",R$ 1.600 /Mês,R$ 730,56 m²,2,2,1
  Apartamento com 3 Quartos para Venda/Aluguel 150m²  ,"Avenida da Invernada, 450 - Vila Congonhas, São Paulo - SP",R$ 4.800 /Mês,R$ 1.650,150 m²,3,4,2
"  Flat com  Quarto para Aluguel, 28m²  ","Rua Bela Cintra, 672 - Consolação, São Paulo - SP",R$ 1.500 /Mês,R$ 800,28 m²,1,1,1
"  Apartamento com 2 Quartos para Aluguel, 66m²  ","Avenida Prefeito Dulcídio Cardoso - Barra da Tijuca, Rio de Janeiro - RJ",R$ 2.300 /Mês,R$ 1.171,66 m²,2,1,1
